日期,人次
2018-08-01,2136088
2018-08-02,2159632
2018-08-03,2283247
2018-08-04,1898710
2018-08-05,1680243
2018-08-06,2099299
2018-08-07,2166263
2018-08-08,2148228
2018-08-09,2194682
2018-08-10,2353117
2018-08-11,1994179
2018-08-12,1682303
2018-08-13,2134561
2018-08-14,2194706
2018-08-15,2214075
2018-08-16,2243761
2018-08-17,2367374
2018-08-18,2012712
2018-08-19,1681781
2018-08-20,2110534
2018-08-21,2138241
2018-08-22,2171375
2018-08-23,2165213
2018-08-24,2256295
2018-08-25,1734982
2018-08-26,1629709
2018-08-27,2099962
2018-08-28,2124949
2018-08-29,2117994
2018-08-30,2123387
2018-08-31,2296449
2018-09-01,1874722
2018-09-02,1591671
2018-09-03,2102499
2018-09-04,2105251
2018-09-05,2134143
2018-09-06,2162872
2018-09-07,2305629
2018-09-08,1850217
2018-09-09,1480364
2018-09-10,2150791
2018-09-11,2189847
2018-09-12,2190339
2018-09-13,2204212
2018-09-14,2371364
2018-09-15,1900038
2018-09-16,1637787
2018-09-17,2141013
2018-09-18,2175017
2018-09-19,2198186
2018-09-20,2218486
2018-09-21,2413658
2018-09-22,1797040
2018-09-23,1574708
2018-09-24,1373897
2018-09-25,2163066
2018-09-26,2220412
2018-09-27,2248167
2018-09-28,2382813
2018-09-29,1929194
2018-09-30,1748049
2018-10-01,2153476
2018-10-02,2205744
2018-10-03,2245628
2018-10-04,2256017
2018-10-05,2460599
2018-10-06,2128241
2018-10-07,1726202
2018-10-08,2165851
2018-10-09,2330585
2018-10-10,1694400
2018-10-11,2224162
2018-10-12,2449482
2018-10-13,2011739
2018-10-14,1761584
2018-10-15,2160640
2018-10-16,2205709
2018-10-17,2239676
2018-10-18,2277512
2018-10-19,2463170
2018-10-20,2165753
2018-10-21,1853374
2018-10-22,2145476
2018-10-23,2192443
2018-10-24,2219639
2018-10-25,2250438
2018-10-26,2442244
2018-10-27,2196271
2018-10-28,1821356
2018-10-29,2159886
2018-10-30,2190421
2018-10-31,2231201
2018-11-01,2226597
2018-11-02,2409613
2018-11-03,1983661
2018-11-04,1663658
2018-11-05,2154617
2018-11-06,2194757
2018-11-07,2206057
2018-11-08,2265445
2018-11-09,2474754
2018-11-10,2168311
2018-11-11,1833538
2018-11-12,2169906
2018-11-13,2201844
2018-11-14,2237341
2018-11-15,2273326
2018-11-16,2512365
2018-11-17,2133854
2018-11-18,1946167
2018-11-19,2223386
2018-11-20,2210547
2018-11-21,2242017
2018-11-22,2294923
2018-11-23,2553558
2018-11-24,1825897
2018-11-25,1754725
2018-11-26,2193976
2018-11-27,2200847
2018-11-28,2233194
2018-11-29,2278590
2018-11-30,2487108
2018-12-01,2205030
2018-12-02,1896436
2018-12-03,2176176
2018-12-04,2214693
2018-12-05,2240309
2018-12-06,2271993
2018-12-07,2532183
2018-12-08,2308079
2018-12-09,1914463
2018-12-10,2224711
2018-12-11,2242007
2018-12-12,2273685
2018-12-13,2317978
2018-12-14,2560315
2018-12-15,2457270
2018-12-16,1992375
2018-12-17,2238091
2018-12-18,2284170
2018-12-19,2320121
2018-12-20,2343012
2018-12-21,2478462
2018-12-22,2411726
2018-12-23,1929128
2018-12-24,2395063
2018-12-25,2417781
2018-12-26,2351732
2018-12-27,2381431
2018-12-28,2554576
2018-12-29,2087373
2018-12-30,1989881
2018-12-31,2362321
2019-01-01,1760411
2019-01-02,2251877
2019-01-03,2267856
2019-01-04,2447742
2019-01-05,1949462
2019-01-06,1556048
2019-01-07,2184757
2019-01-08,2221008
2019-01-09,2243786
2019-01-10,2289461
2019-01-11,2493667
2019-01-12,2072853
2019-01-13,1772436
2019-01-14,2191415
2019-01-15,2229810
2019-01-16,2242153
2019-01-17,2268140
2019-01-18,2525256
2019-01-19,2349805
2019-01-20,1840006
2019-01-21,2239301
2019-01-22,2252947
2019-01-23,2313276
2019-01-24,2331481
2019-01-25,2509979
2019-01-26,2171263
2019-01-27,1894095
2019-01-28,2301220
2019-01-29,2284864
2019-01-30,2317868
2019-01-31,2299461
2019-02-01,2266895
2019-02-02,1614227
2019-02-03,1271648
2019-02-04,796925
2019-02-05,1411543
2019-02-06,1496631
2019-02-07,1748744
2019-02-08,1739830
2019-02-09,1736708
2019-02-10,1598921
2019-02-11,2116445
2019-02-12,2203739
2019-02-13,2246663
2019-02-14,2330449
2019-02-15,2512145
2019-02-16,2349304
2019-02-17,2017041
2019-02-18,2267822
2019-02-19,2294378
2019-02-20,2305499
2019-02-21,2299050
2019-02-22,2402163
2019-02-23,2382112
2019-02-24,1682136
2019-02-25,2224469
2019-02-26,2272783
2019-02-27,2432183
2019-02-28,1950693
2019-03-01,2044948
2019-03-02,2053639
2019-03-03,1539906
2019-03-04,2186481
2019-03-05,2251547
2019-03-06,2275501
2019-03-07,2306964
2019-03-08,2531018
2019-03-09,2046180
2019-03-10,1704380
2019-03-11,2233236
2019-03-12,2297277
2019-03-13,2306198
2019-03-14,2300496
2019-03-15,2532543
2019-03-16,2183340
2019-03-17,1863734
2019-03-18,2242854
2019-03-19,2259753
2019-03-20,2281285
2019-03-21,2286563
2019-03-22,2470982
2019-03-23,2050917
2019-03-24,1663807
2019-03-25,2190786
2019-03-26,2274028
2019-03-27,2303289
2019-03-28,2317574
2019-03-29,2469378
2019-03-30,2075911
2019-03-31,1688163
2019-04-01,2144045
2019-04-02,2170948
2019-04-03,2272888
2019-04-04,1734088
2019-04-05,1564939
2019-04-06,1898865
2019-04-07,1628627
2019-04-08,2145020
2019-04-09,2182742
2019-04-10,2218141
2019-04-11,2240325
2019-04-12,2443592
2019-04-13,2041936
2019-04-14,1772517
2019-04-15,2194910
2019-04-16,2215593
2019-04-17,2289558
2019-04-18,2121603
2019-04-19,2484942
2019-04-20,2097858
2019-04-21,1761241
2019-04-22,2173779
2019-04-23,2236616
2019-04-24,2280709
2019-04-25,2290339
2019-04-26,2500511
2019-04-27,2143094
2019-04-28,1830228
2019-04-29,2229166
2019-04-30,2319637
2019-05-01,1852480
2019-05-02,2320578
2019-05-03,2534382
2019-05-04,2086864
2019-05-05,1819455
2019-05-06,2227456
2019-05-07,2236146
2019-05-08,2253765
2019-05-09,2282999
2019-05-10,2482256
2019-05-11,1984508
2019-05-12,1661140
2019-05-13,2160982
2019-05-14,2195865
2019-05-15,2236895
2019-05-16,2237898
2019-05-17,2459065
2019-05-18,2107080
2019-05-19,1822742
2019-05-20,2110995
2019-05-21,2207423
2019-05-22,2223940
2019-05-23,2238950
2019-05-24,2444438
2019-05-25,2124682
2019-05-26,1749160
2019-05-27,2134250
2019-05-28,2176470
2019-05-29,2275339
2019-05-30,2291844
2019-05-31,2480272
2019-06-01,2147337
2019-06-02,1712330
2019-06-03,2178186
2019-06-04,2213890
2019-06-05,2268732
2019-06-06,2395072
2019-06-07,1546569
2019-06-08,1800595
2019-06-09,1664227
2019-06-10,2168211
2019-06-11,2175323
2019-06-12,2249521
2019-06-13,2253201
2019-06-14,2426836
2019-06-15,2092138
2019-06-16,1752010
2019-06-17,2167954
2019-06-18,2201250
2019-06-19,2248160
2019-06-20,2271373
2019-06-21,2441732
2019-06-22,1973976
2019-06-23,1638722
2019-06-24,2153991
2019-06-25,2182196
2019-06-26,2227885
2019-06-27,2221342
2019-06-28,2454925
2019-06-29,1958248
2019-06-30,1671830
