時段,進站,人次
4,幸福,75
4,府中,1264
4,後山埤,605
4,徐匯中學,305
4,復興崗,69
4,忠孝復興,3818
4,忠孝敦化,5817
4,忠孝新生,1239
4,忠義,43
4,文德,106
4,新北投,0
4,新北產業園區,91
4,新埔,673
4,新埔民生,35
4,新店,250
4,新店區公所,235
4,新莊,379
4,昆陽,252
4,明德,213
4,景安,467
4,景平,51
4,景美,642
4,木柵,105
4,東湖,194
4,東門,683
4,松山,1049
4,松山機場,35
4,松江南京,926
4,板新,30
4,橋和,16
4,民權西路,621
4,永安市場,590
4,永寧,136
4,永春,1251
4,江子翠,552
4,海山,350
4,淡水,1080
4,港墘,227
4,石牌,629
4,秀朗橋,43
4,科技大樓,535
4,竹圍,215
4,紅樹林,330
4,芝山,527
4,菜寮,347
4,萬芳社區,81
4,萬芳醫院,176
4,萬隆,341
4,葫洲,120
4,蘆洲,254
4,行天宮,742
4,西湖,184
4,西門,7552
4,象山,3290
4,輔大,301
4,辛亥,80
4,迴龍,252
4,關渡,148
4,雙連,689
4,頂埔,155
4,頂溪,1063
4,頭前庄,110
4,麟光,193
4,龍山寺,683
5,BL板橋,2382
5,Y板橋,98
5,七張,1097
5,三和國中,902
5,三民高中,746
5,三重,506
5,三重國小,805
5,中原,38
5,中和,136
5,中山,2530
5,中山國中,589
5,中山國小,2468
5,中正紀念堂,1370
5,丹鳳,449
5,亞東醫院,1392
5,信義安和,2306
5,先嗇宮,196
5,內湖,665
5,公館,2460
5,六張犁,754
5,劍南路,775
5,劍潭,1965
5,動物園,140
5,北投,1272
5,北門,415
5,十四張,27
5,南京三民,1339
5,南京復興,2466
5,南勢角,1765
5,南港,1306
5,南港展覽館,1643
5,南港軟體園區,68
5,古亭,1882
5,台北101/世貿,5607
5,台北小巨蛋,873
5,台北橋,1020
5,台北車站,8531
5,台大醫院,776
5,台電大樓,965
5,唭哩岸,9350
5,善導寺,2145
5,國父紀念館,2361
5,圓山,2972
5,土城,402
5,士林,1528
5,大坪林,1023
5,大安,1492
5,大安森林公園,1118
5,大橋頭站,704
5,大湖公園,233
5,大直,510
5,奇岩,350
5,小南門,230
5,小碧潭,137
5,市政府,7499
5,幸福,106
5,府中,3017
5,後山埤,1468
5,徐匯中學,705
5,復興崗,457
5,忠孝復興,4255
5,忠孝敦化,5247
5,忠孝新生,2066
5,忠義,111
5,文德,243
5,新北投,413
5,新北產業園區,93
5,新埔,2912
5,新埔民生,44
5,新店,1063
5,新店區公所,758
5,新莊,654
5,昆陽,1003
5,明德,2988
5,景安,1584
5,景平,74
5,景美,1079
5,木柵,223
5,東湖,731
5,東門,1209
5,松山,1171
5,松山機場,91
5,松江南京,1558
5,板新,68
5,橋和,19
